"year2007","year2008","year2009","year2010","year2011"
0,0.5,1.2,12,1.8
0,1,0,0.5,1
23.9,0,0.7,2,0.3
10.7,0,17.7,18,0.2
16,10.4,0,4,14
10.2,29.5,0,0,5.8
3.3,1.3,16,40,9.4
28.7,1,0,32.6,96.8
0.8,1.5,0.5,42.2,0.3
0,9.1,6.5,2.3,4.3
0,3,2.6,1.2,0
0,6,0.2,2.4,0
2.5,23.4,0.1,8.4,0
3.5,2,32,16.8,6.4
19.3,0,0,14.6,13.7
21.3,2.8,0,3,5.8
0.5,8.6,0.2,8.6,13.5
1.5,2.8,0,5,23.1
1,0.8,0,0,27.9
2.7,13.7,0,0,49
0,5.3,0,0,18.3
0,0,7.8,0,0.3
0,0,9.4,0,0.5
0,1,0.2,0,8.1
14,13.5,3.5,0,0.3
150.6,0,0,22,0
15.7,0,3.8,0,2
13.8,1,0.2,0,1.8
17,1.8,16,18.9,0.3
5.3,10.9,10.9,1,4.3
18.8,1.3,1,0,19.3
0.2,0,7.1,13,170.4
0.5,0,6.6,12,20.8
0,4,0,0,13.7
0,4.6,0,10,0
23.6,0,0,74.2,0
11.2,0,0,0,0
21.1,0,0,0,0
24.6,2.5,0,0,0
0,6.9,0,3,7.9
0,22.1,0,7.3,5.8
0,5.3,0,96,0.3
22.8,12.2,0.2,15,0
1.5,24.9,7.6,4,0
0.3,1.5,0.2,1,4.1
0.6,1,0.5,12.2,8.9
0,19.8,0,0,25.4
0,8.1,0,4.2,24.9
0,0,4.8,6.2,15
0,0,0.5,1.5,1.5
0,0,0.2,43,1.8
0,0,1.7,0.5,18
0,0,0.5,0,0.5
0,0,27.1,4,16.3
0.5,0,3.7,0.2,4.1
16,0,13,0,26.4
41.7,0,2.4,0,6.1
10.7,99.1,1.5,0,4.1
1.3,14,0,0,2
0.2,38.1,0,6,26.4
