Day,year2007,year2008,year2009,year2010,year2011
1-15,0,0.5,1.2,12,1.8
1-16,0,1,0,0.5,1
1-17,23.9,0,0.7,2,0.3
1-18,10.7,0,17.7,18,0.2
1-19,16,10.4,0,4,14
1-20,10.2,29.5,0,0,5.8
1-21,3.3,1.3,16,40,9.4
1-22,28.7,1,0,32.6,96.8
1-23,0.8,1.5,0.5,42.2,0.3
1-24,0,9.1,6.5,2.3,4.3
1-25,0,3,2.6,1.2,0
1-26,0,6,0.2,2.4,0
1-27,2.5,23.4,0.1,8.4,0
1-28,3.5,2,32,16.8,6.4
1-29,19.3,0,0,14.6,13.7
1-30,21.3,2.8,0,3,5.8
1-31,0.5,8.6,0.2,8.6,13.5
2-1,1.5,2.8,0,5,23.1
2-2,1,0.8,0,0,27.9
2-3,2.7,13.7,0,0,49
2-4,0,5.3,0,0,18.3
2-5,0,0,7.8,0,0.3
2-6,0,0,9.4,0,0.5
2-7,0,1,0.2,0,8.1
2-8,14,13.5,3.5,0,0.3
2-9,150.6,0,0,22,0
2-10,15.7,0,3.8,0,2
2-11,13.8,1,0.2,0,1.8
2-12,17,1.8,16,18.9,0.3
2-13,5.3,10.9,10.9,1,4.3
2-14,18.8,1.3,1,0,19.3
2-15,0.2,0,7.1,13,170.4
2-16,0.5,0,6.6,12,20.8
2-17,0,4,0,0,13.7
2-18,0,4.6,0,10,0
2-19,23.6,0,0,74.2,0
2-20,11.2,0,0,0,0
2-21,21.1,0,0,0,0
2-22,24.6,2.5,0,0,0
2-23,0,6.9,0,3,7.9
2-24,0,22.1,0,7.3,5.8
2-25,0,5.3,0,96,0.3
2-26,22.8,12.2,0.2,15,0
2-27,1.5,24.9,7.6,4,0
2-28,0.3,1.5,0.2,1,4.1
2-29,0.6,1,0.5,12.2,8.9
3-1,0,19.8,0,0,25.4
3-2,0,8.1,0,4.2,24.9
3-3,0,0,4.8,6.2,15
3-4,0,0,0.5,1.5,1.5
3-5,0,0,0.2,43,1.8
3-6,0,0,1.7,0.5,18
3-7,0,0,0.5,0,0.5
3-8,0,0,27.1,4,16.3
3-9,0.5,0,3.7,0.2,4.1
3-10,16,0,13,0,26.4
3-11,41.7,0,2.4,0,6.1
3-12,10.7,99.1,1.5,0,4.1
3-13,1.3,14,0,0,2
3-14,0.2,38.1,0,6,26.4
